ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2018;3;16;2;3;3;6;0;0;1;0;0;1;0;1;9.895845833;53.565826777
2;2018;3;16;3;3;1;6;0;0;1;0;0;0;1;0;9.92333668;53.595643739
2;2018;5;17;4;2;6;7;0;1;0;1;0;0;0;0;10.030310401;53.545441939
2;2018;4;17;4;3;2;6;0;0;1;0;0;0;0;0;9.915732085;53.587868246
2;2018;1;19;2;2;3;1;2;0;1;0;0;1;1;1;9.91380408;53.510948323
2;2018;2;1;5;3;2;6;2;0;1;0;0;1;0;1;9.913116988;53.5105988
2;2018;1;20;5;3;4;2;2;0;1;0;0;0;0;1;10.040840173;53.552595701
2;2018;5;7;7;3;2;6;0;0;1;0;0;0;0;0;9.932686302;53.470917051
2;2018;3;10;7;3;2;6;0;0;1;0;0;0;0;1;10.065246903;53.550286685
2;2018;1;11;3;3;3;7;0;0;1;0;0;1;0;0;10.090715375;53.508083941
2;2018;4;19;6;3;2;6;1;0;1;0;0;0;0;0;10.019744452;53.581616722
2;2018;1;16;3;3;2;6;1;0;1;0;0;0;0;1;10.028833305;53.54771795
2;2018;2;15;6;3;2;6;0;0;1;0;0;0;0;0;10.022576306;53.478176871
2;2018;5;17;2;3;3;2;0;1;0;0;0;0;0;0;9.959362368;53.574521139
2;2018;4;2;3;3;2;6;2;0;1;0;0;1;0;1;10.02788164;53.454484841
2;2018;1;0;5;3;9;7;2;0;0;0;0;1;0;0;9.910907677;53.632734962
2;2018;2;18;7;3;3;7;2;0;1;0;0;0;0;0;9.8945427;53.471728297
2;2018;4;17;6;3;2;6;0;0;1;0;0;0;1;0;9.923153847;53.519328678
2;2018;3;14;7;2;2;6;0;0;1;0;0;1;0;0;10.145407187;53.541044976
2;2018;4;12;7;3;2;6;0;0;1;0;0;0;0;0;9.916673896;53.589923452
2;2018;1;17;2;3;2;6;2;0;1;0;0;0;0;1;10.213126814;53.486474179
2;2018;3;20;7;3;2;6;2;0;1;0;0;0;0;1;9.957472851;53.647645436
2;2018;5;17;2;3;4;2;0;0;1;0;0;0;0;0;9.802347319;53.579503187
2;2018;4;11;3;3;0;3;0;0;1;0;0;0;1;0;9.910540657;53.63884434
2;2018;1;15;1;3;2;6;0;0;1;0;0;0;0;1;9.99918736;53.594517184
2;2018;2;0;1;3;2;6;2;0;1;0;0;0;0;0;9.979832896;53.549115659
2;2018;1;16;3;2;5;2;2;1;1;0;0;0;0;0;10.032123525;53.540531171
2;2018;5;18;6;3;0;7;0;0;1;0;0;0;0;0;10.0276986;53.549167724
2;2018;3;16;5;3;2;6;0;0;1;0;0;0;0;0;9.856168177;53.472011534
2;2018;1;9;2;3;3;6;0;0;0;0;0;1;1;0;9.912641293;53.565363972
2;2018;2;17;4;2;5;3;2;1;1;0;0;0;0;0;9.982965149;53.590023247
2;2018;4;10;4;3;2;6;0;0;1;0;0;1;0;0;10.138967964;53.532752595
2;2018;3;11;4;3;1;6;0;0;1;0;0;0;0;0;9.929224445;53.563487866
2;2018;2;13;6;3;2;6;0;0;1;0;0;1;0;0;10.034204032;53.494068317
2;2018;4;11;5;3;1;6;0;0;1;0;0;0;0;1;9.899978392;53.564966284
2;2018;3;11;5;3;0;7;0;0;1;0;0;0;1;1;9.933668658;53.532862043
